from,to,value,type,lng2,lat2,lat1,lng1
新加坡,南京西路,5683,move_in,121.457901,31.228979,1.352083,103.819836
韩国,南京西路,1756,move_in,121.457901,31.228979,35.907757,127.766922
日本,南京西路,991,move_in,121.457901,31.228979,36.204824,138.252924
美国,南京西路,518,move_in,121.457901,31.228979,37.09024,-95.712891
泰国,南京西路,244,move_in,121.457901,31.228979,15.870032,100.992541
澳大利亚,南京西路,193,move_in,121.457901,31.228979,-25.274398,133.775136
俄罗斯,南京西路,115,move_in,121.457901,31.228979,61.523976,105.318756
蒙古,南京西路,101,move_in,121.457901,31.228979,46.862496,103.846656
印尼,南京西路,87,move_in,121.457901,31.228979,-0.789275,113.921327
马来西亚,南京西路,69,move_in,121.457901,31.228979,4.210484,101.975766
老挝,南京西路,67,move_in,121.457901,31.228979,19.85627,102.495496
菲律宾,南京西路,49,move_in,121.457901,31.228979,12.879721,121.774017
哈萨克斯坦,南京西路,40,move_in,121.457901,31.228979,48.019575,66.923684
加拿大,南京西路,25,move_in,121.457901,31.228979,56.130365,-106.346771
文莱,南京西路,18,move_in,121.457901,31.228979,4.535277,114.727669
毛里求斯,南京西路,16,move_in,121.457901,31.228979,-20.348404,57.552152
越南,南京西路,14,move_in,121.457901,31.228979,14.058324,108.277199
柬埔寨,南京西路,11,move_in,121.457901,31.228979,12.565679,104.990963
新西兰,南京西路,10,move_in,121.457901,31.228979,-43.664335,171.12582
缅甸,南京西路,6,move_in,121.457901,31.228979,21.916221,95.955974
乌兹别克斯坦,南京西路,5,move_in,121.457901,31.228979,41.377491,64.585262
苏里南,南京西路,3,move_in,121.457901,31.228979,3.919305,-56.027783
巴基斯坦,南京西路,3,move_in,121.457901,31.228979,30.375321,69.345116
黎巴嫩,南京西路,3,move_in,121.457901,31.228979,33.854721,35.862285
吉尔吉斯斯坦,南京西路,3,move_in,121.457901,31.228979,41.20438,74.766098
巴拿马,南京西路,3,move_in,121.457901,31.228979,8.537981,-80.782127
尼泊尔,南京西路,2,move_in,121.457901,31.228979,28.397585,84.132911
德国,南京西路,2,move_in,121.457901,31.228979,51.165689,10.451526
塔吉克斯坦,南京西路,2,move_in,121.457901,31.228979,38.861034,71.276093
荷兰,南京西路,2,move_in,121.457901,31.228979,52.132632,5.291266
法属波利尼西亚,南京西路,2,move_in,121.457901,31.228979,-17.67974,-149.406837
法国,南京西路,2,move_in,121.457901,31.228979,46.227636,2.213749
坦桑尼亚,南京西路,1,move_in,121.457901,31.228979,-6.369028,34.888822
肯尼亚,南京西路,1,move_in,121.457901,31.228979,-0.023559,37.906193
刚果(布),南京西路,1,move_in,121.457901,31.228979,-0.228021,15.827659
